"consumption_item","mean"
"CO10A",7.67010525133037
"CO10B",0
"CO10C",2.78146259248314
"CO10T",65.6747792983879
"CO10X",42.1408869573246
"CO11A",23.1216317091893
"CO11B",0
"CO11C",25.5538240752947
"CO11T",368.187586968506
"CO11X",550.726061572823
"CO12B",0
"CO12T",133.48669809829
"CO12X",133.48669809829
"CO13B",0
"CO13T",81.2492247254746
"CO13X",81.2492247254746
"CO14B",0
"CO14T",470.084289804639
"CO14X",470.084289804639
"CO15",188.487383101001
"CO16",87.5907182623544
"CO17",82.0966544617177
"CO18",135.591729452722
"CO19",127.621543598001
"CO1A",28.2392354988703
"CO1B",0
"CO1C",21.1607242080086
"CO1D",7.66154197477064
"CO1E",2.37965186133852
"CO1X",449.443807800057
"CO20",87.185463426891
"CO21",295.412887055663
"CO22",209.729813670018
"CO23",30.7377695901052
"CO24",217.343677786627
"CO25",122.185216916593
"CO26",37.4149658340043
"CO27",158.350251858388
"CO28",324.865935428987
"CO29",304.620656976759
"CO2A",20.2987276221626
"CO2B",0
"CO2C",14.8464081643463
"CO2D",3.66959606116003
"CO2E",4.39233568355201
"CO2X",252.550313724902
"CO30",117.368326290723
"CO30A",64.8435931994639
"CO30B",7.03508396962321
"CO31",49.4249753390129
"CO32",87.1586338646639
"CO33",474.346987470662
"CO34",6324.7194100503
"CO35",4311.08186161968
"CO36",910.033828651612
"CO37",1476.13818955821
"CO38",3433.46601977154
"CO39",895.068353634272
"CO3A",4.22611698738178
"CO3B",0
"CO3C",33.438724688804
"CO3D",0.577303269034332
"CO3E",6.85952694293467
"CO3X",131.996446107351
"CO40",383.369210362407
"CO41",254.924773994847
"CO42",224.279475652091
"CO43",238.561880828551
"CO44",2565.61338238469
"CO45",1393.34762449549
"CO46",84.2973247010943
"CO47",121.006018702755
"CO48",480.035920578044
"CO49",1964.51430580839
"CO4A",2.70633750922311
"CO4B",0
"CO4C",20.3547662979416
"CO4D",2.12576048993069
"CO4E",13.8713261106345
"CO4X",51.4918594859343
"CO50",2170.55707537356
"CO51",459.937192716784
"CO52",6411.31413117153
"CO5A",2.72689735608109
"CO5B",0
"CO5C",11.7049147717001
"CO5D",0.0597032476432772
"CO5E",4.04282751747377
"CO5X",45.878477436175
"CO6A",3.47450769309342
"CO6B",0
"CO6C",60.2586460233254
"CO6T",194.647146370598
"CO6X",205.512638044691
"CO7A",1.63904939636011
"CO7B",0
"CO7C",99.0999287304769
"CO7T",399.080759223073
"CO7X",304.401299243661
"CO8A",1.14011266873023
"CO8B",0
"CO8C",31.1376157712725
"CO8T",75.0398955441519
"CO8X",55.5097163579492
"CO9A",3.70134914437727
"CO9B",0
"CO9C",84.1471467454702
"CO9T",243.159150683111
"CO9X",292.816801789442
"COPC",25700.5784442525
"COTOTAL",109215.890613428
